Customer_Name,Age,Annual_Income,Credit_Score,Employment_Status,Debt_to_Income_Ratio,Loan_Amount,Loan_Term_Months,Past_Loans,Defaults,Marital_Status,Education_Level,Risk_Flag
Meena Kapoor,39,412861,731,Salaried,0.18,67047,60,2,0,Single,Postgraduate,0
Arjun Reddy,50,200000,640,Business,0.17,72071,48,4,2,Single,Graduate,1
Amit Joshi,37,469299,796,Salaried,0.1,51259,72,2,0,Married,Undergraduate,0
Komal Menon,50,266621,705,Self-employed,0.25,65734,48,5,1,Married,Graduate,0
Riya Kapoor,28,596515,850,Business,0.12,204615,24,4,0,Married,Undergraduate,0
Swati Kulkarni,38,382047,677,Salaried,0.57,124285,12,1,0,Married,Undergraduate,1
Mahesh Yadav,42,255110,770,Business,0.19,65416,72,1,0,Married,Graduate,0
Rahul Patil,38,235023,767,Business,0.36,74898,12,5,0,Married,Postgraduate,0
Varun Reddy,21,262511,693,Government,0.26,86150,48,3,0,Single,Graduate,0
Aditya Sharma,38,504711,811,Salaried,0.39,245341,36,3,0,Single,Undergraduate,0
Rajesh Chavan,23,473172,726,Self-employed,0.46,193294,60,4,0,Single,Undergraduate,1
Mahesh Reddy,43,491783,727,Salaried,0.56,216392,48,3,0,Married,Postgraduate,1
Asha Yadav,30,403192,591,Salaried,0.46,143142,12,2,3,Married,Undergraduate,1
Preeti Bhosale,23,263309,673,Government,0.46,106459,12,1,0,Married,Undergraduate,1
Riya Bhosale,34,967355,470,Unemployed,0.11,138483,48,6,3,Single,Postgraduate,1
Radhika More,43,1650789,597,Business,0.45,257081,48,6,1,Married,Postgraduate,1
Anjali Jadhav,21,486585,690,Salaried,0.45,220027,36,1,0,Single,Graduate,0
Arjun Chatterjee,41,326060,654,Unemployed,0.33,61095,24,3,1,Single,Graduate,1
Ajay Joshi,31,643960,653,Unemployed,0.55,134492,12,2,1,Single,Undergraduate,1
Manoj Jadhav,26,286314,639,Business,0.37,84156,36,0,3,Single,Postgraduate,1
Nisha Yadav,25,293996,641,Unemployed,0.38,76890,12,5,1,Single,Postgraduate,1
Deepak Patel,29,289813,614,Government,0.45,111551,36,4,1,Married,Graduate,1
Ankita Singh,34,525681,673,Salaried,0.42,195701,12,4,1,Married,Undergraduate,0
Pooja Malhotra,32,1181762,524,Government,0.4,156395,60,7,3,Married,Postgraduate,1
Radhika Patel,42,324637,708,Salaried,0.3,138481,48,7,0,Married,Undergraduate,0
Sunil Chavan,34,448673,584,Government,0.45,198916,36,3,3,Single,Undergraduate,1
Amit Patel,42,274927,637,Self-employed,0.15,130922,24,7,3,Married,Postgraduate,1
Tanvi Chatterjee,45,299052,654,Government,0.56,134853,60,2,0,Single,Graduate,1
Meena Malhotra,45,575632,789,Salaried,0.22,79000,12,3,0,Married,Undergraduate,0
Komal Nair,60,729593,692,Government,0.19,154344,12,2,1,Married,Postgraduate,0
Neha Menon,36,466438,753,Salaried,0.53,221210,12,3,0,Married,Graduate,1
Sakshi Dubey,32,495411,747,Salaried,0.1,69649,12,2,0,Single,Undergraduate,0
Komal Kadam,33,200000,692,Salaried,0.19,21446,12,5,0,Single,Undergraduate,0
Kavita Deshmukh,34,351068,591,Business,0.47,136346,48,7,1,Married,Graduate,1
Vivek Chatterjee,41,2044262,574,Business,0.39,1004871,12,2,2,Married,Graduate,1
Sakshi Joshi,42,412318,749,Salaried,0.28,147626,72,6,0,Single,Postgraduate,0
Sakshi Iyer,21,434840,602,Business,0.11,155754,60,0,2,Single,Postgraduate,1
Komal Bhosale,44,415789,739,Salaried,0.58,201843,72,0,0,Single,Graduate,1
Arjun Jadhav,32,348840,631,Salaried,0.34,86887,36,1,3,Single,Graduate,1
Rohit Malhotra,26,249232,791,Salaried,0.23,54361,60,1,0,Single,Graduate,0
Vikram Joshi,43,753963,603,Business,0.25,319487,24,2,2,Single,Postgraduate,1
Asha Mishra,48,572360,850,Unemployed,0.5,206041,24,7,0,Married,Graduate,1
Komal Gupta,29,415040,555,Business,0.44,95982,72,1,3,Single,Postgraduate,1
Shruti Pandey,55,359913,727,Salaried,0.12,79650,24,2,0,Single,Postgraduate,0
Sanjay Gupta,35,258106,622,Government,0.41,34622,36,4,2,Single,Postgraduate,1
Pooja Sharma,41,1292348,730,Government,0.46,633690,60,3,0,Single,Undergraduate,1
Arjun Mane,21,200000,611,Business,0.19,26469,12,6,1,Single,Undergraduate,1
Rohit Kapoor,43,367976,692,Government,0.56,101907,60,7,1,Married,Graduate,1
Komal Mishra,36,590632,850,Business,0.32,231537,60,2,0,Married,Graduate,0
Isha Thakur,37,307008,577,Salaried,0.48,32468,36,5,1,Married,Graduate,1
Ankita Chavan,32,327096,636,Salaried,0.33,117724,24,1,2,Single,Graduate,1
Preeti Thakur,45,442814,740,Unemployed,0.37,165428,12,7,0,Single,Graduate,1
Sunil Jadhav,36,327712,685,Government,0.57,108207,60,1,0,Married,Undergraduate,1
Sakshi Mehta,31,325277,848,Salaried,0.37,155022,60,2,0,Married,Graduate,0
Arjun Kadam,40,751870,626,Business,0.21,188646,48,4,3,Married,Graduate,1
Pooja Menon,26,204461,769,Self-employed,0.43,51965,36,1,0,Single,Graduate,0
